urn,alma_iz_id,alma_nz_id,alma_representation_id,url,title
URN:NBN:no-69102,999920008653902204,,12219671460002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008653902204,"Brev 29. juni 1839, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69103,999920008653502204,,12219671420002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008653502204,"Brev 9. august 1839, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69104,999920008652902204,,12219583080002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008652902204,"Brev 1842-, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69105,999920008652302204,,12219583060002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008652302204,"Brev 17. februar 1842, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69106,999920008651702204,,12219583040002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008651702204,"Brev 18. mars 1842, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69107,999920008651102204,,12219583020002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008651102204,"Brev 17. juni 1844, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69108,999920008650602204,,12219583000002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008650602204,"Brev 18. juni 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69109,999920008649702204,,12219582980002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008649702204,"Brev 22. juni 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69110,999920008647902204,,12219582960002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008647902204,"Brev 5. juli 1844, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69111,999920008647502204,,12219582940002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008647502204,"Brev 9. juli 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69112,999920008646902204,,12219582920002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008646902204,"Brev 30. juli 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69113,999920008646302204,,12219582900002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008646302204,"Brev 5. august 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69114,999920008645502204,,12219582880002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008645502204,"Brev 6. august 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69115,999920008644902204,,12219582860002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008644902204,"Brev 17. september 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69116,999920008644502204,,12219582840002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008644502204,"Brev 27. september 1847, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69117,999920008643702204,,12219582820002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008643702204,"Brev 14. november 1847, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69118,999920008642502204,,12219582800002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008642502204,"Brev 14. januar 1848, Altona, [til] Hansteen, Christopher [fra] Schumacher, S. H."
URN:NBN:no-69119,999920008640002204,,12219582780002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008640002204,"Brev 5. august 1849, Altona, [til] Hansteen, Christopher [fra] Donner"
URN:NBN:no-69120,999920008639102204,,12219582760002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008639102204,"Brev 8. august 1825, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69121,999920008638402204,,12219582740002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008638402204,"Brev 4. juli 1827, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69122,999920008637502204,,12219582720002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008637502204,"Brev 29. mars 1828, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69123,999920008637102204,,12219582700002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008637102204,"Brev 8. april 1828, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69124,999920008636602204,,12219582680002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008636602204,"Brev 15. mai 1828, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69125,999920008636202204,,12219582660002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008636202204,"Brev 11. februar 1828, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69126,999920008635702204,,12219582640002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008635702204,"Brev 23. mars 1859, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69127,999920008635202204,,12219582620002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008635202204,"Brev 10. oktober 1826, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69128,999920008634802204,,12219582600002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008634802204,"Brev 3. februar 1826, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69129,999920008634502204,,12219582540002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008634502204,"Brev 31. oktober 1826, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69130,999920008634202204,,12219582520002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008634202204,"Brev 31. desember 1839, London, [til] Hansteen, Christopher [fra] Sabine"
URN:NBN:no-69131,999920008633902204,,12219582480002204,https://bibsys.alma.exlibrisgroup.com/view/delivery/47BIBSYS_UBO/999920008633902204,"Brev [Udatert], London, [til] Hansteen, Christopher [fra] Sabine"
